task_type,estimated_duration,deadline_pressure,time_of_day,energy_level,mood_level,task_familiarity,reward_clarity,consequence_severity,previous_delay_count,environment_noise,device_distraction,social_obligation,friction_score,friction_level
household,27,low,morning,10,1,repeated,moderate,8,7,low,medium,individual,29.16,low
household,29,low,night,5,6,repeated,clear,10,1,low,high,individual,31.21,low
communication,96,high,night,5,9,new,moderate,6,5,medium,medium,family,69.73,high
communication,41,medium,afternoon,1,6,new,clear,3,3,low,low,individual,36.49,medium
communication,80,low,afternoon,2,6,repeated,moderate,6,4,medium,medium,work,48.29,medium
household,116,medium,evening,2,2,new,unclear,6,5,high,medium,individual,74.4,high
household,69,low,afternoon,4,1,repeated,clear,10,5,medium,high,college,49.42,medium
academic,6,medium,afternoon,5,4,new,unclear,1,3,low,medium,college,28.6,low
academic,78,low,night,10,9,new,clear,7,4,low,low,individual,17.79,low
household,102,medium,morning,4,1,repeated,moderate,8,0,medium,high,individual,43.45,medium
academic,36,low,night,3,7,repeated,moderate,3,5,medium,medium,individual,48.81,medium
academic,93,low,afternoon,4,3,new,moderate,4,3,medium,medium,family,58.28,medium
health,78,medium,afternoon,5,9,new,moderate,7,3,medium,medium,individual,35.6,medium
academic,59,medium,night,3,2,new,moderate,10,3,low,medium,family,66.26,high
finance,54,low,morning,6,2,repeated,moderate,7,1,medium,high,individual,40.28,medium
household,69,low,evening,4,7,new,moderate,6,7,high,medium,individual,61.99,medium
personal_admin,36,low,morning,2,8,repeated,unclear,4,4,medium,medium,family,34.75,low
communication,41,medium,night,3,1,new,unclear,3,5,low,low,individual,61.89,medium
household,80,low,evening,1,9,repeated,unclear,2,0,low,medium,work,26.13,low
communication,117,low,afternoon,10,7,repeated,moderate,4,6,low,medium,individual,11.93,low
household,119,low,afternoon,7,3,repeated,moderate,8,0,medium,medium,work,31.3,low
communication,86,high,morning,5,7,repeated,unclear,1,4,medium,low,work,63.46,medium
academic,98,high,afternoon,7,6,repeated,moderate,2,1,medium,medium,individual,48.38,medium
personal_admin,17,low,night,5,8,repeated,moderate,2,7,medium,medium,family,44.11,medium
household,58,low,evening,1,8,repeated,moderate,5,0,medium,medium,family,40.54,medium
household,7,low,evening,3,1,new,unclear,2,1,medium,medium,family,25.83,low
finance,89,low,night,9,4,repeated,moderate,9,0,medium,medium,college,33.99,low
household,46,medium,evening,7,2,repeated,moderate,1,6,medium,medium,individual,49.48,medium
health,82,high,morning,7,8,new,clear,9,2,low,low,family,9.46,low
communication,44,high,evening,5,8,repeated,clear,7,2,low,medium,individual,47.39,medium
finance,78,high,evening,3,3,new,unclear,10,1,medium,medium,work,74.59,high
academic,70,high,afternoon,10,4,new,moderate,9,6,low,low,college,50.03,medium
health,64,low,morning,4,1,repeated,moderate,7,0,medium,low,family,31.08,low
finance,113,high,evening,4,4,repeated,clear,9,1,low,high,family,60.01,medium
academic,105,low,afternoon,6,5,repeated,clear,5,5,low,low,family,27.68,low
academic,15,high,evening,6,8,new,moderate,5,3,low,high,individual,47.62,medium
household,5,low,afternoon,7,4,repeated,unclear,10,6,low,low,family,23.62,low
personal_admin,30,low,morning,8,5,new,moderate,1,0,medium,high,individual,19.25,low
household,46,low,afternoon,9,3,repeated,unclear,5,0,low,low,individual,14.1,low
communication,66,low,night,8,3,repeated,unclear,7,2,low,high,family,48.07,medium
academic,65,medium,morning,9,5,repeated,clear,8,6,low,high,individual,26.37,low
household,81,high,afternoon,9,2,new,clear,1,6,medium,medium,family,56.04,medium
communication,96,low,afternoon,3,1,repeated,clear,2,6,medium,high,work,57.39,medium
personal_admin,104,low,night,7,5,new,moderate,8,6,medium,medium,individual,49.98,medium
communication,89,low,morning,3,10,new,unclear,3,3,low,low,college,35.31,medium
health,66,low,morning,5,1,new,moderate,1,1,medium,low,family,38.52,medium
communication,78,low,afternoon,10,5,new,moderate,9,6,high,medium,work,38.53,medium
academic,16,low,morning,9,4,repeated,moderate,9,2,medium,medium,individual,23.81,low
household,114,low,evening,8,10,repeated,moderate,8,5,high,low,college,30.9,low
communication,31,high,afternoon,3,8,repeated,unclear,2,5,low,low,college,37.13,medium
personal_admin,71,high,evening,6,2,repeated,moderate,4,6,low,high,individual,55.04,medium
personal_admin,32,low,evening,5,7,new,clear,4,5,medium,medium,college,38.3,medium
academic,70,high,afternoon,10,8,new,clear,4,2,medium,medium,individual,34.45,low
academic,32,low,afternoon,4,5,repeated,unclear,6,5,low,high,work,49.92,medium
academic,119,medium,morning,6,3,new,clear,5,3,medium,high,work,46.1,medium
personal_admin,99,medium,afternoon,8,6,repeated,moderate,4,6,high,high,college,50.75,medium
personal_admin,111,low,morning,8,1,repeated,clear,7,0,low,low,work,9.74,low
health,25,low,night,3,3,new,unclear,7,5,medium,low,individual,68.99,high
household,11,high,afternoon,6,9,repeated,moderate,8,1,medium,medium,college,30.75,low
communication,118,low,afternoon,1,10,repeated,clear,3,3,medium,medium,individual,12.71,low
communication,99,low,afternoon,1,5,new,moderate,3,4,medium,high,individual,63.22,medium
household,18,high,afternoon,1,6,new,moderate,5,0,low,low,college,34.86,low
communication,43,low,night,9,9,repeated,unclear,4,6,medium,low,individual,31.15,low
academic,107,low,night,10,2,repeated,unclear,10,4,medium,high,family,62.93,medium
academic,77,high,evening,9,7,new,clear,2,2,medium,medium,college,32.72,low
personal_admin,91,high,afternoon,10,6,repeated,unclear,4,3,medium,medium,family,49.21,medium
health,66,high,morning,5,9,repeated,clear,4,5,medium,medium,individual,22.04,low
household,16,medium,evening,7,1,new,moderate,10,2,high,medium,individual,44.82,medium
communication,97,low,night,4,4,new,moderate,10,4,low,low,college,64.07,medium
household,42,medium,afternoon,2,3,new,clear,2,5,low,medium,individual,32.06,low
finance,62,medium,afternoon,6,1,repeated,moderate,9,2,medium,high,individual,58.04,medium
health,60,medium,morning,2,4,repeated,moderate,4,7,low,medium,college,44.82,medium
health,43,high,night,7,10,repeated,clear,9,4,medium,high,work,45.17,medium
finance,90,high,morning,4,6,new,clear,2,2,medium,medium,individual,28.1,low
academic,8,medium,evening,4,1,repeated,moderate,10,7,low,medium,individual,63.99,medium
household,52,low,morning,2,9,repeated,clear,6,5,high,medium,work,18.24,low
communication,11,low,evening,9,5,repeated,unclear,4,7,high,low,individual,17.73,low
household,64,low,evening,3,3,new,moderate,6,4,medium,high,work,63.3,medium
health,44,low,evening,6,9,new,unclear,9,7,low,medium,individual,48.89,medium
household,12,low,evening,10,10,repeated,moderate,10,6,high,high,individual,48.32,medium
academic,120,medium,afternoon,9,1,new,unclear,2,6,medium,medium,individual,66.82,high
household,62,medium,evening,8,2,new,moderate,7,5,low,medium,work,49.5,medium
personal_admin,61,medium,morning,9,8,repeated,unclear,10,7,medium,medium,college,48.91,medium
academic,39,low,afternoon,7,3,repeated,clear,5,3,low,low,individual,16.51,low
communication,77,low,morning,9,10,repeated,clear,3,1,medium,medium,college,-12.03,low
household,119,low,evening,10,9,repeated,moderate,9,7,low,medium,individual,31.93,low
academic,17,medium,evening,9,5,repeated,unclear,8,1,high,low,individual,43.57,medium
communication,43,medium,afternoon,5,9,repeated,moderate,3,1,medium,low,individual,22.88,low
finance,88,medium,morning,7,1,repeated,unclear,2,1,low,medium,work,29.87,low
communication,25,low,evening,5,5,repeated,moderate,1,1,low,medium,individual,15.93,low
personal_admin,51,low,evening,1,4,repeated,moderate,10,0,medium,medium,individual,39.72,medium
household,87,high,night,7,7,new,unclear,7,2,medium,high,family,66.0,high
academic,6,low,morning,9,1,new,moderate,2,3,high,low,individual,21.99,low
personal_admin,48,medium,afternoon,5,3,new,unclear,5,7,low,low,college,58.93,medium
household,108,low,night,4,5,repeated,clear,4,0,high,medium,college,18.74,low
communication,34,low,evening,5,8,repeated,unclear,6,7,medium,low,college,40.49,medium
health,91,low,afternoon,4,8,new,unclear,1,2,medium,high,individual,45.62,medium
household,59,high,afternoon,9,3,repeated,moderate,4,4,low,medium,work,31.23,low
finance,44,low,night,10,5,repeated,moderate,10,7,high,medium,college,42.95,medium
academic,81,high,evening,8,9,new,moderate,5,3,medium,low,college,52.49,medium
household,101,high,morning,5,2,repeated,moderate,8,4,high,medium,individual,56.61,medium
academic,100,medium,morning,5,7,repeated,unclear,5,3,low,low,college,34.81,low
health,96,low,afternoon,5,7,new,moderate,5,4,low,medium,family,44.46,medium
academic,28,high,morning,7,2,repeated,moderate,6,3,medium,low,work,38.1,medium
finance,46,medium,afternoon,10,6,repeated,unclear,3,3,low,low,individual,17.57,low
personal_admin,32,low,evening,7,8,repeated,unclear,10,5,medium,medium,family,45.2,medium
communication,98,medium,afternoon,3,3,repeated,unclear,9,1,medium,low,individual,59.05,medium
communication,109,low,afternoon,1,9,new,unclear,4,2,low,medium,college,49.11,medium
communication,97,low,morning,8,8,repeated,unclear,8,2,high,medium,work,23.87,low
household,102,high,evening,10,3,new,moderate,4,0,medium,medium,family,43.7,medium
communication,55,medium,morning,4,7,repeated,moderate,1,1,low,high,work,22.05,low
communication,26,medium,evening,4,8,new,clear,2,6,low,medium,college,35.58,medium
personal_admin,93,low,evening,9,1,new,moderate,8,0,high,low,individual,25.54,low
personal_admin,82,high,night,7,3,new,unclear,2,5,low,high,work,78.03,high
personal_admin,78,medium,evening,7,10,repeated,unclear,6,6,medium,low,college,45.61,medium
personal_admin,78,low,afternoon,8,9,new,moderate,1,3,low,medium,individual,25.72,low
communication,12,medium,night,1,7,repeated,unclear,10,7,medium,medium,work,82.33,high
finance,18,low,evening,9,1,repeated,unclear,8,0,low,medium,individual,26.9,low
personal_admin,49,low,afternoon,1,5,repeated,moderate,10,1,low,medium,family,26.7,low
household,42,high,afternoon,10,10,repeated,unclear,3,7,high,medium,family,57.52,medium
personal_admin,36,high,afternoon,5,3,repeated,moderate,3,5,low,medium,individual,45.46,medium
household,66,low,morning,9,2,repeated,clear,4,1,medium,medium,individual,1.73,low
communication,113,medium,morning,3,1,repeated,unclear,1,1,low,medium,individual,49.11,medium
finance,100,high,morning,2,2,new,clear,4,4,high,medium,individual,60.86,medium
personal_admin,71,medium,afternoon,2,1,repeated,moderate,6,6,medium,low,college,63.93,medium
academic,88,low,afternoon,7,6,new,unclear,8,6,low,low,individual,62.7,medium
finance,65,low,morning,5,9,repeated,moderate,7,0,low,medium,college,7.12,low
communication,17,low,evening,8,3,repeated,moderate,9,1,medium,low,family,8.67,low
household,91,high,morning,5,10,repeated,unclear,6,2,medium,medium,individual,25.21,low
health,87,medium,night,2,10,new,moderate,7,6,high,low,individual,52.39,medium
communication,84,low,morning,7,1,repeated,clear,8,3,high,medium,individual,31.06,low
finance,104,high,night,7,6,new,clear,7,1,medium,high,college,65.85,high
household,103,high,afternoon,2,6,repeated,moderate,5,7,low,low,individual,57.07,medium
communication,51,low,night,6,2,new,unclear,4,1,high,low,individual,37.19,medium
communication,115,medium,afternoon,5,4,new,clear,1,7,medium,high,individual,77.85,high
household,118,medium,morning,4,5,repeated,unclear,5,2,low,medium,individual,39.84,medium
academic,58,medium,afternoon,10,6,repeated,clear,2,1,low,medium,college,6.6,low
personal_admin,75,medium,night,8,6,new,moderate,7,7,medium,low,individual,61.23,medium
communication,56,medium,afternoon,8,2,new,clear,10,2,low,medium,individual,47.98,medium
finance,105,high,afternoon,5,5,new,clear,2,7,low,medium,college,56.4,medium
household,76,medium,morning,4,5,repeated,moderate,6,3,low,high,college,49.7,medium
household,29,low,afternoon,9,10,new,moderate,7,4,low,medium,work,23.59,low
household,27,low,afternoon,5,2,new,clear,7,0,low,high,individual,33.1,low
household,78,low,evening,4,7,repeated,moderate,7,4,low,medium,family,28.85,low
communication,34,low,afternoon,2,10,repeated,unclear,8,2,low,medium,individual,20.97,low
communication,101,low,morning,6,2,repeated,unclear,6,5,medium,low,individual,49.38,medium
communication,15,high,evening,5,1,new,unclear,2,1,high,low,college,50.51,medium
academic,39,high,evening,6,6,repeated,clear,4,6,medium,medium,family,43.43,medium
communication,31,high,afternoon,1,1,repeated,moderate,10,5,low,medium,individual,77.43,high
academic,71,high,morning,6,4,repeated,unclear,6,3,high,low,college,51.32,medium
academic,51,low,night,5,4,repeated,clear,2,3,low,medium,individual,23.26,low
personal_admin,117,low,evening,7,6,repeated,moderate,10,5,high,medium,work,73.67,high
communication,54,low,evening,1,5,new,unclear,8,5,low,medium,family,57.59,medium
finance,12,low,morning,3,4,repeated,moderate,1,6,high,low,individual,34.33,low
household,59,high,evening,2,6,repeated,clear,7,3,high,medium,individual,43.17,medium
personal_admin,81,medium,morning,6,10,new,clear,1,0,high,low,work,5.1,low
communication,46,low,evening,1,5,repeated,unclear,4,0,medium,medium,work,37.62,medium
health,71,low,morning,3,7,repeated,unclear,1,4,medium,low,individual,24.63,low
household,24,medium,evening,4,5,new,clear,8,2,low,high,individual,52.62,medium
personal_admin,114,low,night,6,9,new,moderate,3,4,low,low,college,37.67,medium
health,49,low,afternoon,5,3,new,moderate,10,6,medium,medium,individual,45.03,medium
personal_admin,39,medium,afternoon,5,2,repeated,moderate,2,2,medium,high,individual,45.43,medium
academic,81,high,morning,5,1,repeated,clear,10,0,low,medium,college,29.67,low
household,24,high,evening,1,5,new,moderate,1,5,medium,low,individual,46.51,medium
household,28,medium,evening,8,8,new,clear,10,5,low,low,individual,22.84,low
household,61,low,afternoon,10,9,new,moderate,1,0,low,medium,family,-8.78,low
personal_admin,59,high,night,2,3,repeated,clear,10,0,low,low,college,47.93,medium
academic,13,medium,night,6,7,repeated,unclear,7,0,high,low,family,26.38,low
academic,98,medium,evening,7,4,new,moderate,4,7,medium,medium,individual,64.35,medium
household,93,high,morning,10,7,new,unclear,8,1,high,low,college,50.66,medium
academic,20,medium,night,10,5,repeated,unclear,8,5,medium,medium,family,63.93,medium
academic,59,low,afternoon,4,6,new,unclear,4,6,high,medium,family,60.87,medium
health,76,high,morning,8,8,new,clear,9,1,medium,medium,individual,21.07,low
communication,112,medium,morning,1,10,new,moderate,2,2,medium,high,individual,38.07,medium
academic,62,medium,evening,9,10,repeated,clear,10,4,high,medium,individual,24.23,low
household,68,low,morning,4,9,new,clear,1,1,medium,high,college,15.37,low
household,96,low,afternoon,10,8,new,moderate,8,6,medium,medium,work,22.25,low
academic,80,low,afternoon,9,6,repeated,moderate,2,7,high,low,work,9.91,low
finance,119,low,morning,2,5,repeated,unclear,2,3,low,medium,college,51.19,medium
finance,92,low,evening,10,4,repeated,moderate,2,6,high,low,individual,28.98,low
finance,53,low,evening,8,2,new,clear,5,7,medium,low,college,50.13,medium
finance,33,medium,evening,5,8,repeated,clear,5,4,low,low,individual,18.27,low
academic,83,high,afternoon,7,3,new,unclear,4,4,medium,high,family,83.44,high
personal_admin,86,high,morning,5,6,repeated,moderate,6,1,low,medium,family,37.89,medium
health,11,low,evening,6,1,repeated,unclear,9,7,medium,high,work,69.03,high
personal_admin,81,high,night,7,5,repeated,moderate,5,5,medium,medium,college,64.34,medium
academic,87,medium,morning,9,3,repeated,unclear,6,2,low,high,work,39.91,medium
personal_admin,116,medium,morning,6,1,new,moderate,1,1,low,high,work,42.18,medium
health,111,low,afternoon,1,7,new,unclear,5,4,medium,medium,work,58.69,medium
health,73,low,evening,1,8,new,moderate,6,3,medium,low,family,39.85,medium
academic,94,high,afternoon,1,10,new,clear,1,7,medium,medium,family,68.82,high
finance,6,low,evening,10,9,new,moderate,7,3,high,low,college,32.01,low
personal_admin,37,low,morning,5,4,new,unclear,4,5,high,low,family,41.29,medium
finance,52,low,evening,6,2,repeated,unclear,6,3,high,medium,college,56.47,medium
communication,41,low,night,6,8,repeated,moderate,5,5,medium,medium,individual,29.22,low
personal_admin,93,medium,morning,9,9,repeated,clear,4,4,medium,medium,college,8.67,low
household,93,high,afternoon,10,4,repeated,moderate,5,3,medium,medium,family,18.74,low
communication,107,medium,evening,1,6,repeated,moderate,3,3,low,high,family,39.0,medium
communication,34,high,afternoon,3,5,repeated,clear,9,0,medium,low,college,34.18,low
personal_admin,45,high,evening,4,9,repeated,moderate,1,0,low,low,individual,-1.17,low
academic,8,low,night,9,4,repeated,clear,9,3,high,high,college,33.4,low
communication,87,low,afternoon,1,7,repeated,moderate,5,6,medium,medium,individual,61.0,medium
finance,95,low,morning,8,2,repeated,unclear,7,1,low,high,individual,41.6,medium
health,120,low,evening,3,1,repeated,moderate,10,1,low,high,individual,66.4,high
communication,115,medium,afternoon,8,1,new,moderate,7,7,medium,medium,individual,58.01,medium
personal_admin,43,low,afternoon,2,5,repeated,moderate,4,0,low,medium,family,13.56,low
personal_admin,28,low,morning,6,7,repeated,moderate,10,7,low,medium,individual,34.8,low
academic,54,low,morning,2,5,repeated,clear,2,7,medium,low,college,13.53,low
household,41,medium,night,7,4,repeated,unclear,1,2,low,low,individual,38.72,medium
academic,57,medium,evening,6,9,repeated,moderate,10,2,medium,medium,family,42.55,medium
household,29,high,night,7,2,repeated,unclear,7,3,high,low,college,52.78,medium
communication,97,low,night,9,2,repeated,moderate,2,7,low,low,family,34.28,low
personal_admin,35,medium,morning,10,10,repeated,moderate,2,5,medium,medium,individual,28.27,low
health,113,low,morning,9,1,new,unclear,6,1,medium,low,college,33.89,low
academic,103,low,afternoon,6,5,repeated,moderate,5,7,medium,low,work,43.62,medium
academic,96,low,afternoon,8,5,repeated,unclear,5,7,medium,high,work,58.51,medium
communication,42,low,evening,10,1,repeated,moderate,2,5,low,medium,work,20.9,low
communication,62,medium,evening,6,6,repeated,moderate,7,3,low,low,college,23.13,low
household,112,low,night,10,5,new,moderate,8,3,medium,high,individual,60.17,medium
personal_admin,57,low,night,2,7,repeated,unclear,1,1,medium,medium,individual,55.85,medium
personal_admin,118,low,morning,5,1,repeated,moderate,4,2,medium,medium,family,35.65,medium
household,54,medium,night,5,3,new,moderate,9,1,medium,low,work,49.96,medium
personal_admin,8,medium,evening,4,10,new,moderate,10,4,high,medium,individual,59.57,medium
household,96,medium,evening,9,9,repeated,unclear,6,1,medium,high,individual,42.69,medium
finance,56,medium,afternoon,2,6,repeated,clear,1,6,low,high,individual,46.0,medium
communication,35,medium,morning,7,2,repeated,unclear,6,4,low,low,individual,43.62,medium
academic,91,low,morning,6,9,new,unclear,5,1,medium,medium,college,38.76,medium
personal_admin,82,low,afternoon,3,3,new,unclear,8,5,high,low,college,69.36,high
communication,96,medium,afternoon,7,3,repeated,moderate,6,5,medium,medium,individual,49.37,medium
finance,18,medium,evening,8,2,new,unclear,3,5,high,medium,work,58.32,medium
household,5,high,afternoon,4,5,new,unclear,6,0,low,medium,individual,38.98,medium
academic,47,high,afternoon,8,3,repeated,clear,2,2,medium,medium,college,28.05,low
academic,100,high,morning,6,6,repeated,unclear,4,0,high,low,college,42.94,medium
communication,63,high,morning,5,5,new,clear,1,6,low,low,college,30.3,low
finance,65,medium,night,8,9,new,moderate,2,5,medium,medium,individual,50.96,medium
household,45,low,morning,6,10,new,clear,6,3,high,high,individual,25.26,low
finance,22,low,morning,10,10,new,clear,4,6,low,medium,individual,2.98,low
finance,64,high,morning,8,3,new,unclear,10,2,low,medium,college,42.79,medium
finance,73,low,evening,6,3,new,clear,8,7,medium,high,family,54.62,medium
communication,110,low,evening,4,4,repeated,moderate,10,1,high,high,college,61.87,medium
personal_admin,83,medium,evening,2,5,repeated,moderate,8,6,medium,high,work,66.91,high
communication,63,low,evening,3,10,new,moderate,10,7,medium,low,college,31.18,low
communication,46,medium,morning,7,8,new,unclear,5,7,medium,medium,college,46.81,medium
academic,84,medium,afternoon,6,2,repeated,clear,8,1,medium,low,college,41.7,medium
household,104,medium,afternoon,6,10,repeated,moderate,4,0,high,medium,individual,29.09,low
academic,40,medium,evening,9,1,new,moderate,7,5,low,medium,work,48.57,medium
communication,44,low,morning,5,7,new,clear,6,4,low,low,individual,9.25,low
academic,34,low,evening,9,8,new,moderate,5,6,low,low,individual,21.92,low
household,106,high,afternoon,1,5,repeated,moderate,5,4,high,high,family,73.33,high
health,91,low,evening,3,8,repeated,clear,5,2,medium,medium,family,38.27,medium
household,15,medium,afternoon,5,8,new,unclear,3,5,low,medium,family,23.26,low
academic,29,medium,evening,7,4,new,unclear,7,3,medium,high,work,73.45,high
academic,49,low,afternoon,5,10,repeated,unclear,3,6,medium,medium,individual,41.52,medium
health,55,low,afternoon,4,3,new,unclear,5,7,medium,medium,individual,76.83,high
academic,47,low,night,5,9,repeated,unclear,9,4,low,low,college,32.88,low
communication,70,low,afternoon,1,4,repeated,moderate,6,2,high,high,individual,42.75,medium
communication,103,low,evening,5,6,repeated,moderate,9,3,low,medium,individual,25.8,low
finance,51,high,afternoon,9,2,repeated,unclear,7,2,low,low,college,26.98,low
communication,28,medium,evening,3,7,repeated,clear,10,6,medium,medium,family,41.81,medium
health,81,low,morning,10,7,repeated,moderate,4,6,medium,medium,work,11.85,low
academic,110,medium,night,6,6,repeated,unclear,6,1,low,medium,work,38.5,medium
household,41,low,night,9,1,repeated,unclear,5,5,medium,medium,individual,39.48,medium
household,60,low,night,6,2,repeated,moderate,6,5,low,low,individual,33.23,low
academic,98,high,afternoon,10,3,new,moderate,7,5,medium,medium,individual,70.01,high
household,79,high,afternoon,6,3,new,unclear,6,7,medium,low,family,65.73,high
household,91,medium,morning,6,6,repeated,clear,2,3,medium,high,college,24.67,low
communication,50,high,night,7,8,repeated,unclear,7,2,low,medium,family,34.1,low
finance,32,high,morning,6,3,repeated,clear,7,2,low,medium,individual,18.44,low
household,97,medium,evening,8,4,new,unclear,2,1,medium,low,college,43.54,medium
finance,56,high,afternoon,2,9,new,moderate,1,6,medium,high,individual,59.12,medium
household,19,medium,morning,8,8,repeated,moderate,6,0,medium,medium,individual,7.37,low
household,49,low,morning,4,8,repeated,clear,3,3,medium,medium,college,5.82,low
communication,62,high,night,2,1,new,unclear,5,1,medium,low,individual,74.23,high
academic,71,low,night,9,9,repeated,unclear,2,5,high,high,individual,41.87,medium
academic,77,low,afternoon,5,7,repeated,clear,4,7,medium,medium,work,21.66,low
household,76,low,morning,3,10,new,unclear,5,4,low,low,individual,15.84,low
personal_admin,115,high,night,3,4,new,moderate,1,0,low,medium,individual,57.67,medium
finance,101,low,morning,9,6,repeated,moderate,7,1,high,medium,individual,18.47,low
academic,102,low,morning,5,1,repeated,unclear,1,1,high,medium,individual,40.19,medium
health,77,low,evening,10,8,new,unclear,6,5,low,medium,college,37.73,medium
finance,85,medium,evening,7,9,repeated,unclear,2,5,medium,medium,family,30.47,low
communication,45,low,morning,2,9,new,moderate,10,3,medium,medium,work,32.66,low
health,69,medium,morning,6,9,repeated,clear,5,2,low,medium,family,3.61,low
household,44,high,morning,1,1,repeated,clear,9,5,low,low,college,39.31,medium
academic,9,low,afternoon,8,10,repeated,unclear,7,1,medium,low,individual,1.63,low
communication,98,high,afternoon,1,10,repeated,moderate,9,1,medium,medium,individual,48.87,medium
communication,79,low,morning,3,10,repeated,moderate,5,4,low,low,individual,30.41,low
communication,32,medium,night,6,9,repeated,unclear,7,0,low,low,individual,24.72,low
communication,42,medium,evening,8,10,new,moderate,8,3,low,medium,individual,31.29,low
personal_admin,85,high,evening,10,6,repeated,moderate,8,2,low,high,individual,51.55,medium
personal_admin,118,low,morning,1,6,repeated,clear,10,6,high,medium,individual,63.69,medium
personal_admin,91,medium,night,10,1,new,unclear,8,6,medium,medium,individual,82.06,high
health,22,low,evening,4,2,repeated,moderate,7,6,low,medium,individual,37.99,medium
personal_admin,41,medium,afternoon,3,10,new,unclear,3,4,high,high,family,62.14,medium
academic,31,medium,morning,1,8,repeated,moderate,10,3,medium,medium,family,67.9,high
household,29,low,morning,5,2,new,clear,4,2,medium,high,college,16.15,low
communication,73,medium,afternoon,8,10,new,moderate,7,0,medium,medium,college,15.02,low
health,87,low,morning,7,9,repeated,moderate,1,0,low,medium,individual,2.43,low
communication,31,medium,morning,3,4,new,unclear,5,5,medium,high,individual,68.24,high
finance,81,medium,morning,5,4,repeated,moderate,8,1,low,medium,college,21.94,low
academic,58,medium,evening,5,5,repeated,moderate,1,2,medium,high,work,36.67,medium
household,11,low,afternoon,8,7,repeated,unclear,3,3,medium,low,college,14.73,low
finance,94,low,morning,6,1,new,moderate,9,0,medium,low,work,25.32,low
academic,82,high,afternoon,3,9,repeated,unclear,2,6,medium,high,individual,66.16,high
household,31,high,evening,7,6,new,clear,3,6,medium,medium,college,51.08,medium
household,63,medium,afternoon,1,5,repeated,moderate,6,4,medium,low,college,51.52,medium
household,76,medium,evening,2,5,repeated,moderate,10,7,medium,low,individual,71.0,high
finance,35,medium,evening,7,1,new,moderate,7,1,medium,high,individual,54.5,medium
household,103,low,afternoon,2,1,new,unclear,4,0,high,medium,college,67.09,high
communication,95,low,afternoon,2,7,repeated,moderate,5,5,medium,medium,family,46.45,medium
academic,72,medium,morning,10,2,new,clear,2,6,medium,low,family,38.32,medium
health,110,low,evening,7,4,repeated,clear,2,7,medium,medium,individual,40.24,medium
household,8,high,evening,10,8,new,unclear,9,3,low,low,family,40.57,medium
communication,22,low,night,4,6,new,moderate,4,1,low,high,individual,41.75,medium
finance,67,medium,morning,9,4,repeated,unclear,1,5,high,low,individual,29.82,low
academic,91,medium,night,7,7,new,moderate,2,5,high,medium,work,59.19,medium
personal_admin,100,low,evening,10,7,repeated,unclear,3,7,low,low,individual,33.95,low
communication,80,medium,morning,10,1,new,unclear,8,3,medium,medium,individual,52.27,medium
household,56,medium,afternoon,6,1,repeated,unclear,9,7,high,low,individual,65.97,high
academic,88,low,evening,4,5,repeated,moderate,9,5,low,low,family,46.06,medium
personal_admin,115,medium,morning,8,7,new,moderate,8,7,low,medium,family,60.22,medium
health,67,low,evening,5,6,repeated,unclear,9,4,high,medium,college,53.4,medium
academic,49,medium,night,8,1,new,moderate,4,2,low,high,individual,65.4,high
household,16,low,morning,8,7,repeated,moderate,10,7,medium,high,individual,42.92,medium
health,12,medium,night,9,1,new,clear,6,3,low,low,individual,26.11,low
finance,26,low,afternoon,9,2,new,moderate,2,1,medium,medium,family,15.78,low
health,95,medium,afternoon,7,10,repeated,moderate,10,3,high,low,individual,33.24,low
household,45,medium,evening,10,7,repeated,unclear,6,7,low,high,family,42.35,medium
finance,120,medium,evening,7,1,repeated,unclear,4,4,medium,medium,individual,63.41,medium
household,45,high,afternoon,6,5,repeated,moderate,1,7,low,high,individual,55.03,medium
academic,85,low,evening,9,3,new,unclear,1,1,medium,medium,individual,47.14,medium
communication,61,high,morning,8,4,repeated,moderate,5,3,medium,high,individual,36.0,medium
personal_admin,36,low,evening,1,8,repeated,unclear,9,7,low,medium,college,47.63,medium
household,101,medium,evening,8,9,new,unclear,9,0,medium,high,family,52.5,medium
communication,99,low,afternoon,2,6,new,clear,5,7,medium,medium,individual,53.61,medium
finance,59,medium,night,9,2,repeated,clear,10,0,medium,medium,college,28.25,low
communication,10,high,evening,6,2,new,moderate,2,3,low,medium,college,54.45,medium
health,43,high,morning,5,9,repeated,clear,1,1,low,medium,family,3.76,low
health,13,low,night,7,9,repeated,clear,5,3,low,high,family,20.82,low
academic,110,low,evening,4,10,repeated,moderate,3,1,medium,medium,family,12.26,low
personal_admin,36,medium,evening,9,7,new,unclear,1,6,low,low,family,34.35,low
health,40,high,afternoon,10,4,repeated,moderate,1,3,high,low,individual,30.63,low
personal_admin,20,low,afternoon,8,4,new,moderate,3,7,medium,medium,individual,50.93,medium
finance,16,high,night,1,2,repeated,moderate,9,6,medium,medium,family,86.28,high
personal_admin,45,medium,afternoon,1,10,repeated,unclear,8,5,medium,high,work,53.88,medium
academic,71,medium,afternoon,3,6,repeated,clear,10,5,medium,medium,individual,52.66,medium
household,62,low,afternoon,8,7,repeated,clear,10,4,medium,medium,work,24.87,low
personal_admin,95,high,morning,8,7,repeated,unclear,1,1,medium,low,family,30.24,low
academic,95,high,morning,2,6,repeated,clear,3,3,high,low,college,47.17,medium
